"pt_id","name_clean","line_id","dist_start","dist_end","dist_closer_endpoint","CountryNum","StateNum","Route","RouteName","Active","Stratum","BCR","RouteTypeID","RouteTypeDetailID","name_clean.pt","rteno","RTENAME","SUM_ARC_LE","MIN_rte_le","MAX_rte_le","MIN_date_a","MAX_date_a","name_clean.line"
171,"cold bay",234,1152.81151702043,26194.9724405976,1152.81151702043,840,"03","191","COLD BAY",1,99,2,1,1,"cold bay",3891,"COLD BAY",25076.324,25076.32,25076.32,2001,2001,"cold bay"
179,"mitkof isle",168,30986.2044500835,40802.3051033743,30986.2044500835,840,"03","221","MITKOF ISLE",1,94,5,1,1,"mitkof isle",3221,"MITKOF ISLE",45146.143,45146.15,45146.15,2001,2001,"mitkof isle"
188,"dietrich cmp",176,129619.471349652,2515.12084907604,2515.12084907604,840,"03","372","DIETRICH CMP",1,99,3,1,1,"dietrich cmp",3372,"DIETRICH CMP",57785.043,57785.04,57785.04,2001,2001,"dietrich cmp"
190,"cape nome",178,1751.24839432288,97885.0742453998,1751.24839432288,840,"03","402","CAPE NOME",1,99,2,1,1,"cape nome",3402,"CAPE NOME",47197.816,47197.82,47197.82,2001,2001,"cape nome"
196,"galbraith l",184,3046.57540487563,84217.3215396065,3046.57540487563,840,"03","408","GALBRAITH L.",1,99,3,1,1,"galbraith l",3408,"GALBRAITH L.",47105.496,47105.5,47105.5,2001,2001,"galbraith l"
197,"happy valley",185,15698.4110183211,92543.2356603577,15698.4110183211,840,"03","409","HAPPY VALLEY",1,99,3,1,1,"happy valley",3409,"HAPPY VALLEY",32329.781,32329.78,32329.78,2001,2001,"happy valley"
199,"hoonah",187,4304.60914331972,41402.160221757,4304.60914331972,840,"03","411","HOONAH",1,94,5,1,1,"hoonah",3411,"HOONAH",36136,36136,36136,2001,2001,"hoonah"
205,"cottonwood",193,3091.95599802458,11111.924890776,3091.95599802458,840,"03","417","COTTONWOOD",0,96,4,1,1,"cottonwood",3417,"COTTONWOOD",42607.797,42607.8,42607.8,2001,2001,"cottonwood"
211,"ruby",199,3153.28126382616,73001.2590057128,3153.28126382616,840,"03","423","RUBY",1,25,4,1,1,"ruby",3423,"RUBY",39399.621,39399.62,39399.62,2001,2001,"ruby"
212,"salmon lake",200,1140.68151236202,25494.5366261816,1140.68151236202,840,"03","424","SALMON LAKE",1,99,2,1,1,"salmon lake",3424,"SALMON LAKE",43862.602,43862.6,43862.6,2001,2001,"salmon lake"
218,"porcupine r",206,4827.73759396332,48963.7019032435,4827.73759396332,840,"03","430","PORCUPINE R.",0,25,4,2,1,"porcupine r",3430,"PORCUPINE R.",37216.617,37216.62,37216.62,2001,2001,"porcupine r"
220,"ft richrdsn",208,19185.454287694,21361.7144415041,19185.454287694,840,"03","432","FT. RICHRDSN",1,96,4,1,1,"ft richrdsn",3432,"FT. RICHRDSN",36448.077,36448.07,36448.07,2001,2001,"ft richrdsn"
223,"chichagof is",211,2807.43804772571,56200.559824042,2807.43804772571,840,"03","435","CHICHAGOF IS",1,94,5,1,1,"chichagof is",3435,"CHICHAGOF IS",35642.605,35642.61,35642.61,2001,2001,"chichagof is"
225,"tupuknuk",213,1834.74562507999,20245.4031423905,1834.74562507999,840,"03","437","TUPUKNUK",0,99,2,2,1,"tupuknuk",3437,"TUPUKNUK",41197.152,41197.15,41197.15,2001,2001,"tupuknuk"
227,"hyder",215,16232.1405762439,16759.6294242563,16232.1405762439,840,"03","439","HYDER",0,94,5,1,1,"hyder",3439,"HYDER",28180.247,28180.25,28180.25,2011,2011,"hyder"
228,"tatalina",216,10978.3833833498,59320.795111479,10978.3833833498,840,"03","440","TATALINA",1,25,4,1,1,"tatalina",3440,"TATALINA",38413.902,38413.9,38413.9,2001,2001,"tatalina"
483,"flagstaff",250,20460.7768927183,2524.81401946907,2524.81401946907,840,"06","009","FLAGSTAFF",1,84,34,1,1,"flagstaff",6009,"FLAGSTAFF",41069.8,41069.8,41069.8,1998,1998,"flagstaff"
569,"ramsey",329,33003.2558571546,1290.84594271727,1290.84594271727,840,"07","003","RAMSEY",0,4,25,1,1,"ramsey",7003,"RAMSEY",37680.547,37680.55,37680.55,2001,2001,"ramsey"
577,"crows",337,18370.9757952121,18369.1391325388,18369.1391325388,840,"07","011","CROWS",0,19,25,1,1,"crows",7011,"CROWS",37526.887,37526.89,37526.89,2001,2001,"crows"
832,"riovista",402,22239.4511061848,8417.70791812203,8417.70791812203,840,"14","016","RIOVISTA",1,91,32,1,1,"riovista",14016,"RIOVISTA",41063.8,41063.8,41063.8,1998,1998,"riovista"
865,"palo verde",435,1058.91555800228,35675.9731680296,1058.91555800228,840,"14","049","PALO VERDE",1,82,33,1,1,"palo verde",14049,"PALO VERDE",41172.9,41172.9,41172.9,1998,1998,"palo verde"
879,"trona",449,3449.79483332545,39525.6661215821,3449.79483332545,840,"14","063","TRONA",1,83,33,1,1,"trona",14063,"TRONA",40424.4,40424.4,40424.4,1998,1998,"trona"
917,"sawmill mtn",485,1128.21482936229,15715.2784157525,1128.21482936229,840,"14","103","SAWMILL MTN",1,92,32,1,1,"sawmill mtn",14103,"SAWMILL MTN",38346.4,38346.4,38346.4,1998,1998,"sawmill mtn"
945,"joshua tree",512,2552.17836565877,39295.9792588759,2552.17836565877,840,"14","131","JOSHUA TREE",0,83,33,1,1,"joshua tree",14131,"JOSHUA TREE",45768.3,45768.3,45768.3,1998,1998,"joshua tree"
946,"kings canyon",513,1218.32922150185,36250.3621195899,1218.32922150185,840,"14","132","KINGS CANYON",1,92,15,1,1,"kings canyon",14132,"KINGS CANYON",39970.2,39970.2,39970.2,1998,1998,"kings canyon"
986,"offield mtn",552,1310.44528638565,15122.1097867677,1310.44528638565,840,"14","174","OFFIELD MTN",1,66,5,1,1,"offield mtn",14174,"OFFIELD MTN",41106.6,41106.6,41106.6,1998,1998,"offield mtn"
1049,"hackamore",605,54097.1166316109,3275.56439608772,3275.56439608772,840,"14","405","HACKAMORE",1,85,9,1,1,"hackamore",14405,"HACKAMORE",47058.9,47058.9,47058.9,1998,1998,"hackamore"
1059,"paxton",615,1314.66266746488,35168.5007740207,1314.66266746488,840,"14","415","PAXTON",1,66,15,1,1,"paxton",14415,"PAXTON",43953.5,43953.5,43953.5,1998,1998,"paxton"
1061,"little truckee",617,9056.46436415852,46093.4668014286,9056.46436415852,840,"14","417","LITTLE TRUCKEE",1,66,15,1,1,"little truckee",14417,"LITTLE TRUCKEE",52794.5,52794.5,52794.5,1998,1998,"little truckee"
1074,"medicine mtn",630,45435.7510842059,4424.82722246117,4424.82722246117,840,"14","430","MEDICINE MTN.",1,85,9,1,1,"medicine mtn",14430,"MEDICINE MTN.",61663.3,61663.3,61663.3,1998,1998,"medicine mtn"
1107,"cheesman lk",658,3633.48640756478,38031.6184193578,3633.48640756478,840,"17","011","CHEESMAN LK",1,62,16,1,1,"cheesman lk",17011,"CHEESMAN LK",36479.9,36479.9,36479.9,1998,1998,"cheesman lk"
1111,"delta",662,46641.0884724032,1055.45813391698,1055.45813391698,840,"17","015","DELTA",1,84,16,1,1,"delta",17015,"DELTA",39636.8,39636.8,39636.8,1998,1998,"delta"
1112,"colona",663,34350.7179914427,1271.37999847033,1271.37999847033,840,"17","016","COLONA",0,62,16,1,1,"colona",17016,"COLONA",39074.8,39074.8,39074.8,1998,1998,"colona"
1118,"dolores",669,38050.1582664409,35244.7866029439,35244.7866029439,840,"17","022","DOLORES",0,84,16,1,1,"dolores",17022,"DOLORES",39585.441,39585.44,39585.44,2001,2001,"dolores"
